hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,essential_dental,provider_name,google_name,city,type,group_name,tel_no,area,location
H039,✔,✔,✖,✖,✖,✖,✖,✖,Mediclinic Hospitals L..LC.-Branch 2,Mediclinic Airport Road,ABU DHABI,HOSPITAL,MEDICLINIC - AL NOOR GROUP,02-4944820,AIRPORT ROAD,"Airport Road, P.O. Box: 48481"
M270,✔,✔,✔,✔,✔,✖,✖,✖,NMC ROYAL FAMILY MEDICAL CENTRE LTD (EX. NMC DAY SURGERY CENTER LLC),Nmc Royal Family Medical Centre,ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-6911500,MOHAMMED BIN ZAYED CITY,"Prestige Tower, Sreet No. 79, Mohamed Bin Zated City, P.O. Box: 114621, Auh"
M584,✔,✔,✔,✔,✔,✖,✖,✖,NMC ROYAL HOSPITAL LLC,"Nmc Royal Hospital, Khalifa City, Abu Dhabi",ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-2035000,KHALIFA CITY,"Plot No. P-1, SE-4, 16th street, Zone 135, Khalifa City"
H002,✔,✔,✔,✔,✔,✖,✖,✖,NMC SPECIALTY HOSPITAL - AUH,Nmc Specialty Hospital Abu Dhabi,ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-6179728,MADINAT ZAYED,"NMC Tower Building, Electra Street, P.O. Box: 46222"
OTH251,✔,✔,✔,✔,✔,✖,✖,✖,AL BAHRI DENTAL & ORTHODONTIC CENTER L.L.C – BRANCH,"Al Bahri Dental And Orthodontic Center, Abu Dhabi",ABU DHABI,MEDICAL CENTER,AL BAHRI DENTAL GROUP,02-5751856,KHALEEJ AL ARABI,"KHALEEJ AL ARABI ST., BLDG. 836, ABU DHABI, UAE"
OTH225,✔,✔,✔,✔,✔,✔,✖,✖,MAJESTIC DENTAL CENTER - SOLE PROPRIETORSHIP L.L.C.,Majestic Medical Center,ABU DHABI,MEDICAL CENTER,Trust Vision Investment L.L.C,02-6669161,Al Bateen,"Villa 24, Al Falah St, Al Bateen Area Abu Dhabi"
OTH238,✔,✔,✔,✔,✔,✖,✖,✖,SAMA TABRIZI DENTISTRY LLC BRANCH,Tabrizi Dentistry - Abu Dhabi,ABU DHABI,MEDICAL CENTER,TABRIZI DENTISTRY,02-5833328,MINISTRIES COMPLEX,"Zone 1, Ministries Complex, Abu Dhabi"
OTH239,✔,✔,✔,✔,✔,✖,✖,✖,TABRIZI EXPRESS DENTISTRY LLC,Tabrizi Dentistry - Main Branch - Al Ain,ABU DHABI,MEDICAL CENTER,TABRIZI DENTISTRY,055-5551117,AL MUWAIJI,"Al Muwaji, Oud Bin Saghan St., Abu Dhabi"
M481,✔,✔,✔,✔,✖,✖,✖,✖,ADVANCED CURE DIAGNOSTIC CENTRE LLC,Advance Cure Diagnostic Centre – Main,ABU DHABI,MEDICAL CENTER,-,02-4100900,AL BATEEN,"Al Bateen Area, Abu Dhabi"
A033,✔,✔,✔,✔,✔,✔,✖,✖,AILABOUNY MEDICAL CENTRE LLC,Ailabouny Medical Center,ABU DHABI,MEDICAL CENTER,-,02-6440125,AL SALAM,"Salam St., Kuwality Resraurant Bldg., P.O. Box: 4244"
