hnm_code,city,type,provider_name,group_name,network
H218,AL AIN,Hospital,Sheikh Tahnoon Bin Mohammed Medical City,Sheikh Tahnoon Bin Mohammed Medical City,ALL NETWORKS
PAL2989,AL AIN,Pharmacy,Outpatient Pharmacy Sheikh Tahnoon Bin Mohammed Medical City,Sheikh Tahnoon Bin Mohammed Medical City and pharmacy,ALL NETWORKS
H219,AL AIN,Hospital,Sheikh Tahnoon Bin Mohammed Medical City - Rehabilitation Hospital,STMC Rehabilitation Hospital,ALL NETWORKS
PAL2990,AL AIN,Pharmacy,Outpatient Pharmacy - Sheikh Tahnoon Bin Mohammed Medical City Rehabilitation Hospital,STMC Rehabilitation Hospital,ALL NETWORKS
PAL2991,AL AIN,Pharmacy,Inpatient Pharmacy -Sheikh Tahnoon Bin Mohammed Medical City,Sheikh Tahnoon Bin Mohammed Medical City and pharmacy,ALL NETWORKS
PAD2992,ABU DHABI,Pharmacy,Hisn Al Dhafra Pharmacy,Hisn Al Dhafra Medical Center,ALL NETWORKS
M2239,ABU DHABI,MEDICAL CENTER,Hisn Al Dhafra Medical Center,Hisn Al Dhafra Medical Center and Pharmacy,ALL NETWORKS
PDXB2240,ABU DHABI,Pharmacy,SEHA Kidney Care Center - Abu Dhabi Pharmacy,,ALL NETWORKS
M2240,ABU DHABI,MEDICAL CENTER,YAS MOBILE CLICNIC,,ALL NETWORKS
PAL2993,AL AIN,Pharmacy,AL NIYADAT HEALTHCARE CENTER PHARMACY,SEHA CLINICS Al Neyadat & PHARMACY,ALL NETWORKS
PAD2994,ABU DHABI,Pharmacy,SAKINA FOR CHILDREN PHARMACY,Sakina for children (SEHA) & PHARMACY,ALL NETWORKS
H220,ABU DHABI,Hospital,SALMA REHABILITATION HOSPITAL - L.L.C - S.P.C,Salma Children's Long-Term Care and Rehabilitation Hospital,ALL NETWORKS
M2241,UAQ,MEDICAL CENTER,RAINBOW MEDICAL CENTRE,RAINBOW MEDICAL CENTRE,ALL NETWORKS
M2242,AJMAN,MEDICAL CENTER,HESSA MEDICAL CLINIC,Hessa Medical Clinic,ALL NETWORKS
M2243,DUBAI,MEDICAL CENTER,SAN LUCAS MEDICAL CENTER L.L.C,San Lucas Medical Center L.L.C,"HN EXCLUSIVE,HN PREMIER,HN ADVANTAGE,HN STANDARDPLUS,HN STANDARD"
M2244,DUBAI,MEDICAL CENTER,MOOPANS POLYCLINIC L.L.C,Moopans Poly Clinic,ALL NETWORKS
PDXB2997,DUBAI,PHARMACY,MOOPANS PHARMACY L.L.C,Moopans Pharmacy,ALL NETWORKS
PAD2998,ABU DHABI,PHARMACY,HEALTHLINE PRIMARY HEALTHCARE PHARMACY (Formerly Mayo Care One Pharmacy),-,ALL NETWORKS
PDXB2999,DUBAI,PHARMACY,Northwest Clinic Day Surgical Pharmacy LLC,Northwest Clinic Day Surgical- PHARMACY,"HN EXCLUSIVE,HN PREMIER,HN ADVANTAGE"
PDXB1941,DUBAI,PHARMACY,BADR AL SAMAA PHARMACY LLC - DUBAI,Badr Al Samaa Medical Centre- PHARMACY,ALL NETWORKS
M2096,SHARJAH,MEDICAL CENTER,INARA MEDICAL CENTER LLC SP,Inara Medical Center,ALL NETWORKS
M2245,DUBAI,MEDICAL CENTER,ZAIN CURA MEDICAL CENTER L.L.C,"Zain Cura Medical Center LLC - Deira, Dubai",ALL NETWORKS
PDXB3000,DUBAI,PHARMACY,Aster Pharmacy 213 (Br Of Aster Pharmacies Group L.L.C),Aster Pharmacy - Al Habtoor City (213),ALL NETWORKS
PDXB3001,DUBAI,PHARMACY,Aster Pharmacy 219 (Br Of Aster Pharmacies Group L.L.C),Aster Pharmacy Liv Marina (219),ALL NETWORKS
PAD3002,Abu Dhabi,PHARMACY,Zest Wellness Pharmacy L.L.C - Branch Of Abu Dhabi,Zest Khalidiya,ALL NETWORKS
PAL3003,AL AIN,PHARMACY,LIFE PHARMACY LLC - BRANCH OF ABU DHABI (SHIAB AL ASHKAR),Life Pharmacy L.L.C -Br Of Auh (shamsi Building),ALL NETWORKS
PAD3004,ABU DHABI,PHARMACY,LIFE PHARMACY LLC - BRANCH OF ABU DHABI (SHAWAMEKH CENTRAL MALL),Life Para Pharmacy LLC Br. of AUH (Lulu Central Mall),ALL NETWORKS
PAD3005,ABU DHABI,PHARMACY,LIFE PHARMACY LLC - BRANCH OF ABU DHABI (SARAB MALL),Life Pharmacy,ALL NETWORKS
PAD3006,ABU DHABI,PHARMACY,LIFE PHARMACY LLC - BRANCH OF ABU DHABI (THE H TOWER PLAZA),"Life Health & Wellness, The H-Tower Plaza, Baniyas",ALL NETWORKS
PDXB3007,DUBAI,PHARMACY,LIFE PHARMACY L.L.C (BRANCH) (DSO),LIFE PHARMACY LLC BRANCH-BINGHATTI TERRACES,ALL NETWORKS
PDXB3008,DUBAI,PHARMACY,LIFE PHARMACY 210 (Br of LIFE PHARMACY L.L.C),"LIFE PHARMACY 210 - BELSHALAT 3 BUILDING, WEST ZONE KARAMA",ALL NETWORKS
PDXB3009,DUBAI,PHARMACY,LIFE PHARMACY 206 (Br of LIFE PHARMACY L.L.C),LIFE PHARMACY 206 (EMERALD JADAF METRO 2 BUILDING),ALL NETWORKS
PSHJ3010,SHARJAH,PHARMACY,LIFE PHARMACY L.L.C - SHJ. BR - BRANCH 43 (AL KHAN),-,ALL NETWORKS
PSHJ3011,SHARJAH,PHARMACY,LIFE PHARMACY L.L.C - SHJ. BR - BRANCH 44 (AL NAHDA SHARJAH),-,ALL NETWORKS
PSHJ3012,SHARJAH,PHARMACY,LIFE PHARMACY L.L.C - SHJ. BR - BRANCH 42 (AL SHAHBA),-,ALL NETWORKS
PAJ3013,AJMAN,PHARMACY,LIFE PHARMACY L.L.C - Branch 44 (AL JURF AJMAN),LIFE PHARMACY LLC-BRANCH 44,ALL NETWORKS
H221,Dubai,Hospital,American Hospital Dubai Science Park,American Hospital Dubai Science Park,HN EXCLUSIVE
PDXB2996,Dubai,PHARMACY,American Hospital Dubai Science Park Pharmacy FZ LLC,American Hospital Dubai Science Park,HN EXCLUSIVE
M1923,Abudhabi,Telemedicine counseling center – Home health care center,Droncall LTD,"Droncall Ltd, Abu Dhabi",ALL NETWORKS
M1997,Dubai,Telemedicine counseling center – Home health care center,Droncall Home Healthcare llc,Droncall Home Health Care Center,ALL NETWORKS
M2246,Ras Al-Khaimah,Telemedicine counseling center – Home health care center,HOUSECALL HEALTH CARE,Housecall,ALL NETWORKS
M2238,Dubai,MEDICAL CENTER,BETA STAR CLINIC L L C,Beta Star Clinic & Pharmacy,ALL NETWORKS
M580,DUBAI,MEDICAL CENTER,AL BARSHA AL NOOR POLYCLINIC LLC,Al Barsha Al Noor Polyclinic,ALL NETWORKS
M2247,Sharjah,MEDICAL CENTER,MEDCARE ALZAHIA MEDICAL CENTER,"Medcare Medical Centre, Al Zahia Sharjah","HN EXCLUSIVE,HN PREMIER,HN ADVANTAGE,HN STANDARDPLUS,HN STANDARD"
