hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,provider_name,google_name,city,type,group_name,tel_no,area,location
OTH0020,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -ARABIAN CENTER,Al Jaber Optical Arabian Center . الجابر للنظارات العربي سنتر,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-2845051,Arabian Center,"Shop No. 1624, Ground Floor"
OTH0021,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -ASWAAQ -  MIZHAR,Al Jaber Optical Aswaaq Mall Al Mizhar . الجابر للنظارات أسواق مول المزهر,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-2845054,MIZHAR,"Shop No. 16, Ground Floor"
OTH0022,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -BIN SOUGAT,Al Jaber Optical Bin Sougat Centre . الجابر للنظارات بن سوقات سنتر,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-2861180,BIN SOUGAT,"GE-01,Ground Floor at Spinneys"
OTH0023,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -CITYWALK,Al Jaber Optical City Walk . الجابر للنظارات سيتي ووك,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-3448633,CITY WALK,"Unit. No 51, Al Safa Road"
OTH0024,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -DEIRA CITY CENTRE,Al Jaber Optical City Centre Deira . الجابر للنظارات ديره سيتي سنتر,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-2954400,Deira,"Unit No. B68, Second Floor"
OTH0026,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -DUBAI FESTIVAL CITY - Branch 2,Al Jaber Optical Dubai Festival City . الجابر للنظارات دبي فيستفال سيتي,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-3510016,DUBAI FESTIVAL CITY,"Unit No. SC108, Groud Floor"
OTH0027,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -DUBAI FESTIVAL PLAZA,Al Jaber Optical Dubai Festival Plaza,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-2222597,DUBAI FESTIVAL PLAZA,"Unit No. SU125 , Ground Floor"
OTH0028,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -DUBAI MALL,Al Jaber Optical -Dubai Mall,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-3398100,DUBAI MALL,"Unit No. LG 099-1, Lower Ground Floor"
OTH0029,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -ABU DHABI MALL,Al Jaber Optical Abu Dhabi Mall . الجابر للنظارات أبوظبي مول,ABU DHABI,OPTICAL CENTER,Al Jaber Optical,02-6456111,ABU DHABI MALL,Al Jaber Optical -ABU DHABI MALL
OTH0030,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -DUBAI MARINA MALL,Al Jaber Optical Dubai Marina Mall . الجابر للنظارات دبي مارينا مول,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-3997733,DUBAI MARINA,"Unit No. FF-050, First Floor"
OTH0031,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -Galleria Mall - al barsha,Al Jaber Optical Galleria Mall Al Barsha . الجابر للنظارات جاليريا مول البرشا,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-341-7898,BARSHA,"Unit No. 14, Ground Floor"
OTH0032,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -IBN BATTUTA,Al Jaber Optical Ibn Battuta Mall . الجابر للنظارات إبن بطوطه مول,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-8823750,IBN BATTUTA,"Shop No. 55, Tunisia Court"
OTH0033,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -JUMEIRAH TOWN CENTER,Al Jaber Optical Town Centre Jumeirah . الجابر للنظارات تاون سنتر جيميره,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-8823750,JUMEIRAH,"Shop No. 15, Ground Floor"
OTH0034,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -MALL OF THE EMIRATES,Al Jaber Optical Mall Of The Emirates . الجابر للنظارات مول الإمارات,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-3411322,BARSHA,"Unit No. D-17, Ground Floor"
OTH0035,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -MIRDIF CITY CENTRE,Al Jaber Optical Mirdif City Centre . الجابر للنظارات ميردف سيتي سنتر,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-2843771,MIRDIF,"Shop No. F-050, First Floor"
OTH0036,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -NAKHEEL MALL,Al Jaber Optical Palm Jumeirah Mall . الجابر للبصريات، نخلة جميرا مول,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-2225254,NAKHEEL,Shop No. P044 - Ground Floor
OTH0037,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -SHEIKH ZAYED 1 - Al Manal,Al Jaber Optical Millennium Executive Tower,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-3311955,SHEIKH ZAYED,"Ground Floor, Al Manal Tower, Sheikh Zayed Road1"
OTH0038,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -SPRINGS SOUK,Al Jaber Optical Springs Souk . الجابر للنظارات سوق الينابيع,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-4250668,SPRINGS,"Shop No. NSPV- GF 04, Ground Floor"
OTH0039,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -The Ranches Souk – Arabian Ranches 2,Al Jaber Optical The Ranches Souk . الجابر للنظارات سوق المرابع,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-4324736,ARABIAN RANCHES,"Shop. No. GF-03, Ground Floor"
